OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Thistle tube,4,pcs,0,4,0,4,pcs,0,4,0,4,pcs,,pcs,,,,,4,pcs,6,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three prong extension clamp,25,pcs,0,25,0,25,pcs,0,25,0,25,pcs,,pcs,,,,,25,pcs,0,pcs,,,,,0,25,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripod,15,pcs,0,15,0,15,pcs,0,15,0,15,pcs,,pcs,11-pulled by engineering,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (10ml),1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (25ml),6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (50ml),10,pcs,0,10,0,10,pcs,0,10,0,10,pcs,,pcs,,,,,10,pcs,0,pcs,,,,,0,10,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (100ml),16,pcs,0,16,0,16,pcs,0,16,0,16,pcs,,pcs,,,,,16,pcs,0,pcs,,,,,0,16,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (250ml),15,pcs,0,15,0,15,pcs,0,15,0,15,pcs,,pcs,,,,,15,pcs,0,pcs,,,,,0,15,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (500ml),1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (1000ml),1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric flask (2000ml),1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric pipette (2ml),9,pcs,0,9,0,9,pcs,0,9,0,9,pcs,,pcs,,,,,9,pcs,0,pcs,,,,,0,9,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric pipette (5ml),1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric pipette (10ml),10,pcs,0,10,0,10,pcs,0,10,0,10,pcs,,pcs,,,,,10,pcs,0,pcs,,,,,0,10,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric pipette (25ml),12,pcs,0,12,0,12,pcs,0,12,0,12,pcs,,pcs,,,,,12,pcs,0,pcs,,,,,4*,8,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch glass,32,pcs,0,32,0,29,pcs,0,29,2*,27,pcs,,pcs,,,,,27,pcs,0,pcs,20,pcs,02/01/23 - 05/27/23, SI 867 / SI 4267,0,45,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighing bottle,5,pcs,10,15,0,15,pcs,0,15,0,15,pcs,,pcs,,,,,15,pcs,0,pcs,,,,,1*,14,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Breakages/ Unreturned,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampule Filler,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoclave,1,pcs,1,2,0,2,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toploading balance,2,pcs,1,3,0,2,pcs,1,3,0,3,pcs,,pcs,,,,,3,pcs,1,pcs,2,pcs,05/27/23,SI 4267,0,5,pcs,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytical digital machine (OHAUS),8,pcs,0,8,0,8,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,2,pcs,,,,,2*,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsuling machine,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrifuge,6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiller,0,pcs,1,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulating oven/Drying oven,5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clavenger apparatus Heavy,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clavenger apparatus  Light,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordless Corescope 2 w/ Monocular head stage,12,pcs,0,12,0,12,pcs,0,12,0,12,pcs,,pcs,,,,,12,pcs,0,pcs,,,,,0,12,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coating Pan, Local Fabrication",1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissolution Apparatus (2 Vessel),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissolution Apparatus (6 Vessel),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disintegration Apparatus,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourier-Transform Infrared Spectrophotometer,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friabilator,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freezer,0,pcs,1,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucometer,6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granulator,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardness tester (Stoke's Monsanto),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High performance liquid chromatography (HPLC),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Incubator,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Filling Machine,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic stirrer,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melting point apparatus,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanical stirrer,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metabolic cage,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of  July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micropipette,,,,,,,,,,,,,,,2,pcs,8/3/2022,SI 20215,2,pcs,0,pcs,,pcs,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinocular Compound Microscope,,,,,,0,unit,0,0,0,0,unit,,unit,,,,,0,unit,2,units,1,units,2/22/2023,9716440,0,1,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mini Electric Liquid  Filler( YDF-10-10ml, vial)",1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixer,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohr-Westphal balance,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisture analyzer (OHAUS),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muffle furnace,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Obsolete -please see attachment,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ointment crimper,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ointment filler,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantar Apparatus,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plethysmometer,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarimeter,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH meter,3,pc,0,3,0,3,pc,0,2,0,2,pc,,pc,,,,,2,pc,0,pc,,,,,0,2,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refractometer,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,2,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refrigerator,1,pc,1,2,0,2,pc,1,2,0,2,pc,,pc,*Pulled-out by Engineering,,,,0,pc,0,pc,,,,,0,0,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotary evaporator,2,pcs,0,2,0,2,pcs,1,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sieve shaker,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Sieves (20),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Sieves (40),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Sieves (60),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Sieves (80),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonicator bath,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suction apparatus,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tableting machine,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telethermometer,Digital",1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tensiometer ( Model JZHY-180),1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLC chamber,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinometer,4,pcs,0,4,0,4,pcs,0,4,0,4,pcs,,pcs,,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV light,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July  2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV-Vis spectrophotometer,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viscometer,1,pc,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water bath,7,pcs,0,7,0,7,pcs,0,7,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,2*,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights (12's/ set),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Obsolete -please see attachment,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water bath (obsolete) -1 unit, ,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoxicillin,3,cart,0,3,3,0,cart,2,2,0,2,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacitracin (Taxo A),3,cart,0,3,3,0,cart,2,2,2,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciprofloxacin,2,cart,0,2,0,2,cart,0,2,2,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clindamycin,3,cart,0,3,1,2,cart,1,3,3,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythromycin,3,cart,0,3,1,2,cart,0,2,1,1,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentamycin,2,cart,0,2,0,2,cart,1,3,2,1,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imipenem,3,cart,0,3,1,2,cart,0,2,2,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novobiocin,1,cart,0,1,1,0,cart,0,0,0,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optochin,2,cart,0,2,1,1,cart,1,2,1,1,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piperacillin,2,cart,0,2,1,1,cart,2,3,3,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimethroprim/Cotrimoxazole,1,cart,0,1,1,0,cart,0,0,0,0,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancomycin,1,cart,0,1,0,1,cart,2,3,1,2,cart,,cart,0,,,,0,cart,2,cart,,cart,,,,0,cart,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       Prepared by:,,,Noted by:,,,,Reviewed by:,,,,Noted by:,,,,,,,,,,Prepared by:,,,,Reviewed by:,,,Reviewed by:,,,,,Noted by:,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       Lelibeth Lambid,,,,,,,"Maria Suzette S. Agluba, MSPharm",,,,"Olive M. de Vera, MSPharm",,,,,,,,,,Lovely Mae Ledesma,,,,Cristina G. Sabroso,,,"Maria Suzette S. Agluba, MSPharm",,,,,"Olive M. De Vera RPh, MSPharm",,,,,,,,,,,,,,,,,,,,,,,,
                       Laboratory technician,,,Cristina G. Sabroso,,,,Program Head,,,,Dean,,,,,,,Noted by:,,,Laboratory technician,,,,Laboratory Coordinator,,,Program Head,,,,,College of Pharmacy - Dean,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Laboratory Coordinator, College of Pharmacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared By:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reviewed by:,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queendolyn Garcia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cristina Sabroso, RPh, MSPharm ",,,"Cristina Sabroso, MSPharm ",,,,"Ma. Suzette Agluba, MSPHARM ",,"Olive M. De Vera, MSPharm ",,,,
Laboratory Technician ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             Laboratory Head ,,,    Laboratory Coordinator ,,,,Progarm Head ,,                     Dean ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,,,
Mary June Aldunar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Technician ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Laboratory Coordinator, College of Pharmacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
